name,patent_count
Shunpei Yamazaki,186
Kia Silverbrook,115
Tao Luo,113
Jonathan P. Ive,83
Kangguo Cheng,71
Peter Gaal,71
Duncan Robert Kerr,69
Bartley K. Andre,68
Wei Wang,67
Junyi Li,63
Richard P. Howarth,62
Wanshi Chen,59
Peter Russell-Clarke,57
Lei Wang,54
Li Zhang,54
Daniel J. Coster,53
"Frederick E. Shelton, IV",53
Jing Sun,52
Lei Zhang,50
Christopher J. Stringer,46
